#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 180  60
# Band-Index:    1
   1.88765    -55.021302  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.90826    -55.021609  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.92887    -55.021946  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.94948    -55.022313  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.97008    -55.022708  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.99069    -55.023132  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.01130    -55.023584  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.03191    -55.024062  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.05252    -55.024568  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.07313    -55.025098  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.09374    -55.025651  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.11434    -55.026227  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.13495    -55.026824  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.15556    -55.027441  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.17617    -55.028075  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.19678    -55.028726  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.21739    -55.029391  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.23800    -55.030068  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.25860    -55.030756  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.27921    -55.031451  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.29982    -55.032152  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.32043    -55.032857  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.34104    -55.033563  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.36165    -55.034269  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
